N,Prime Found,Sum Made,Probability
238,51,18,0.35294117647058826
240,52,36,0.6923076923076923
242,53,16,0.3018867924528302
244,53,18,0.33962264150943394
246,53,32,0.6037735849056604
248,53,12,0.22641509433962265
250,53,18,0.33962264150943394
252,54,32,0.5925925925925926
254,54,17,0.3148148148148148
256,54,16,0.2962962962962963
258,55,28,0.509090909090909
260,55,20,0.36363636363636365
262,55,17,0.3090909090909091
264,56,32,0.5714285714285714
266,56,16,0.2857142857142857
268,56,18,0.32142857142857145
270,57,38,0.6666666666666666
272,58,14,0.2413793103448276
274,58,21,0.3620689655172414
276,58,32,0.5517241379310345
278,59,13,0.22033898305084745
280,59,28,0.4745762711864407
282,60,32,0.5333333333333333
284,61,16,0.26229508196721313
286,61,24,0.39344262295081966
288,61,34,0.5573770491803278
290,61,20,0.32786885245901637
292,61,16,0.26229508196721313
294,62,38,0.6129032258064516
296,62,16,0.25806451612903225
298,62,21,0.3387096774193548
300,62,42,0.6774193548387096
302,62,17,0.27419354838709675
304,62,20,0.3225806451612903
306,62,30,0.4838709677419355
308,63,16,0.25396825396825395
310,63,24,0.38095238095238093
312,64,34,0.53125
314,65,17,0.26153846153846155
316,65,20,0.3076923076923077
318,66,30,0.45454545454545453
320,66,22,0.3333333333333333
322,66,22,0.3333333333333333
324,66,40,0.6060606060606061
326,66,13,0.19696969696969696
328,66,20,0.30303030303030304
330,66,48,0.7272727272727273
332,67,12,0.1791044776119403
334,67,21,0.31343283582089554
336,67,38,0.5671641791044776
338,68,18,0.2647058823529412
340,68,26,0.38235294117647056
342,68,34,0.5
344,68,20,0.29411764705882354
346,68,17,0.25
348,69,32,0.463768115942029
350,70,26,0.37142857142857144
352,70,20,0.2857142857142857
354,71,40,0.5633802816901409
356,71,18,0.2535211267605634
358,71,19,0.2676056338028169
360,72,44,0.6111111111111112
362,72,15,0.20833333333333334
364,72,28,0.3888888888888889
366,72,36,0.5
368,73,16,0.2191780821917808
370,73,28,0.3835616438356164
372,73,36,0.4931506849315068
374,74,20,0.2702702702702703
376,74,22,0.2972972972972973
378,74,44,0.5945945945945946
380,75,26,0.3466666666666667
382,75,19,0.25333333333333335
384,76,38,0.5
386,76,23,0.3026315789473684
388,76,18,0.23684210526315788
390,77,54,0.7012987012987013
392,77,22,0.2857142857142857
394,77,21,0.2727272727272727
396,77,42,0.5454545454545454
398,78,13,0.16666666666666666
400,78,28,0.358974358974359
402,79,34,0.43037974683544306
404,79,22,0.27848101265822783
406,79,26,0.3291139240506329
408,79,40,0.5063291139240507
410,80,26,0.325
412,80,22,0.275
414,80,42,0.525
416,80,20,0.25
418,80,22,0.275
420,81,60,0.7407407407407407
422,82,21,0.25609756097560976
424,82,24,0.2926829268292683
426,82,42,0.5121951219512195
428,82,18,0.21951219512195122
430,82,28,0.34146341463414637
432,83,38,0.4578313253012048
434,84,26,0.30952380952380953
436,84,22,0.2619047619047619
438,84,42,0.5
440,85,28,0.32941176470588235
442,85,26,0.3058823529411765
444,86,42,0.4883720930232558
446,86,23,0.26744186046511625
448,86,26,0.3023255813953488
450,87,54,0.6206896551724138
452,87,24,0.27586206896551724
454,87,23,0.26436781609195403
456,87,48,0.5517241379310345
458,88,17,0.19318181818181818
